Person,About,Page url,Picture url
Kanye West,"Kanye West would be the first person to tell you he belongs on this list. The dude doesn’t believe in false modesty, and he shouldn’t. Kanye’s belief in himself and his incredible tenacity—he performed his first single with his jaw wired shut—got him to where he is today. And he fought for his place in the cultural pantheon with a purpose. In his debut album, over a decade ago, Kanye issued what amounted to a social critique and a call to arms (with a beat): “We rappers is role models: we rap, we don’t think.” But Kanye does think. Constantly. About everything. And he wants everybody else to do the same: to engage, question, push boundaries. Now that he’s a pop-culture juggernaut, he has the platform to achieve just that. He’s not afraid of being judged or ridiculed in the process. Kanye’s been playing the long game all along, and we’re only just beginning to see why.Musk, an engineer and entrepreneur, is the CEO of SpaceX and Tesla MotorsPick up the TIME 100 issue on newsstands, or click here to buy it online.",http://time.com/3822841/kanye-west-2015-time-100/,None
Lorne Michaels,"When I called Lorne Michaels to talk about writing this piece, he mentioned that he’d been in the TIME 100 once before, in 2008. And I wondered, Who could TIME have chosen in between as having more influence in comedy?I’ve had the pleasure of trailing Lorne during an episode of Saturday Night Live, editing as he goes, writing as he goes, directing as he goes. Hard to think of anyone more skilled at discovering extraordinary comedic performers, who have gone on to become household names in their own right. It’s no wonder SNL‘s takes on current events have made headlines for 40 years.But as Lorne’s friend, I know that he is graciously suspect of admiration, and he understands that a discussion or dissection of humor is doomed to be dull. His credo: be funny and get on with it. (Note to TIME: if this is too short, please remember that brevity is the soul of wit. If this is too long, ask Lorne for help—he’s good at editing.)Nicholson is a three-time Oscar-winning actor",http://time.com/3822845/lorne-michaels-2015-time-100/,https://timedotcom.files.wordpress.com/2000/04/lorne-michaels-time-100-2015-titans.jpg?quality=75&strip=color&w=1100
Mellody Hobson,"I met Mellody Hobson when she was a senior in high school at a breakfast for Chicago business elite. Quite frankly, I don’t remember any of the Chicago business elite, but I did remember Mellody because she made such a deep impression.Mellody is determined, disciplined and enormously curious. I’ve seen her abilities manifested in the boardroom at Starbucks, where we both serve. She’s always very direct. You do not have to wonder what Mellody’s opinion is. She also has a deep commitment to improving financial literacy among moderate and low-income Americans.From her efforts as president of Ariel Investments to her work in my presidential campaign, Mellody exudes a cheerful confidence that makes people want to follow her. She has said her goals are to do well, surrounded by interesting people, and change the world for the better. Since she’s already doing those things now, just imagine what the next 30 years will bring.Bradley is a former three-term Senator from New Jersey",http://time.com/3822587/mellody-hobson-2015-time-100/,https://timedotcom.files.wordpress.com/2000/04/mellody-hobson-time-100-2015-titans.jpg?quality=75&strip=color&w=814
Tim Cook,"It could not have been easy for Tim Cook to step into the immense shadow cast by the late Apple co-founder, Steve Jobs. But with grace and courage and an unabashed willingness to be his own man, Tim has pushed Apple to unimaginable profitability—and greater social responsibility. He is setting a new standard for what business can do in the world. Tim is unwavering in his support of an individual’s right to privacy and is not only embracing equality and LGBT rights but advocating for change through his words and actions. His commitment to renewable energy is also leaving our planet a little cleaner and a little greener for generations yet unborn.Above all, he has shown that profitability and integrity can go hand in hand. Tim has done this while introducing, time and again, some of the most innovative products the world has ever seen. Tim Cook is proof that even the most successful companies can and should be judged by more than just their bottom line.Lewis is a civil rights leader and Democratic Congressman from Georgia",http://time.com/3822599/tim-cook-2015-time-100/,https://timedotcom.files.wordpress.com/2000/04/time-cook-time-100-2015-icons.jpg?quality=75&strip=color&w=814
Elizabeth Holmes,"Elizabeth Holmes’ is a story that could happen only in America. After her sophomore year she left Stanford to devote herself to a vision of health care available as a basic human right. When I was introduced to Elizabeth by George Shultz, her plan sounded like an undergraduate’s dream. I told her she had only two prospects: total failure or vast success. There would be no middle ground.Elizabeth accepted only one option: making a difference. Striking, somewhat ethereal, iron-willed, she is on the verge of achieving her vision—through a new method of blood testing that significantly reduces costs, tests for a whole range of infections and is mobile and can therefore be easily transported to underdeveloped regions.Striving for prevention and early detection, she is dedicated to transforming health care around the world. She manages an expanding global business by the refusal to be daunted by any obstacle.Elizabeth is in the process of turning an undergraduate’s vision into a global reality. That she combines fierce and single-minded dedication with great charm makes her a formidable advocate. Others will judge the technical aspects of Theranos, but the social implications are vast.Kissinger is a former U.S. Secretary of State and a Theranos board member",http://time.com/3822734/elizabeth-holmes-2015-time-100/,https://timedotcom.files.wordpress.com/2000/04/elizabeth-holmes-time-100-2015-titans.jpg?quality=75&strip=color&w=814
Charles Koch & David Koch,"Charles and David Koch are well known for their business success, their generous philanthropic efforts and for their focus on innovation in management. Some also know them for their activism in the political realm. All of these are important contributions to society. What is underappreciated is their passion for freedom and their commitment to ideas. Unlike many crony capitalists who troll the halls of Congress looking for favors, the Kochs have consistently lobbied against special-interest politics.For decades they have funded institutes that promote ideas, not politics, such as Cato and the Mercatus Center. They have always stood for freedom, equality and opportunity. Consistent with their love of liberty, they have become prominent advocates for criminal-justice reform. The Koch brothers’ investment in freedom-loving think tanks will carry on for generations, reminding all of us that ideas and convictions ultimately trump all else.Paul is a U.S. Senator and a 2016 presidential candidate",http://time.com/3822767/charles-koch-david-koch-2015-time-100/,https://timedotcom.files.wordpress.com/2000/04/charles-koch-david-koch-brothers-time-100-2015-titans.jpg?quality=75&strip=color&w=814
Susan Wojcicki,"Susan Wojcicki is a truly charmed soul. She has this innate navigational system that enables her to operate on a higher plane. She is, in fact, connected to “the source”—that place where the supergifted achieve a state of flow.When Google was created in her garage, it marked a pivotal moment in the history of the world. This ignited Susan’s epic journey, which today finds her at the helm of yet another transformational platform: YouTube.Like me, Susan believes in the power of story and knows that everything and everyone has its own narrative that deserves to be told. YouTube aggregates all of those stories, in all shapes and sizes, and makes them available to the world. It sounds simple, but the power of YouTube has made it the most valuable storytelling outlet our planet has ever seen.Of course there are many other platforms, including the ones I primarily use in the form of theatrical releases and network and cable television, but the world goes to YouTube. We go there to find those beautiful, creative experiments, and through them we discover new talent in all forms. Never before has this been possible at this scale.It only makes sense that someone as transcendent as Susan would be the visionary behind YouTube’s next evolution. Under her leadership, YouTube is becoming an even more ubiquitous experience, where the most inexpensive, rudimentary stories can be told right alongside those with unlimited resources. Consider the playing field leveled.Grazer is an Academy Award–winning producer",http://time.com/3822770/susan-wojcicki-2015-time-100/,https://timedotcom.files.wordpress.com/2000/04/susan-wojcicki-time-100-2015-titans.jpg?quality=75&strip=color&w=814
Chanda Kochhar,"You can’t miss Chanda Kochhar as she walks through the Congress Centre at the World Economic Forum in Davos, Switzerland, or into a meeting of the board of directors of the Institute of International Finance, always resplendent in an elegant sari.Her calm, soft-spoken and understated demeanor belies her strength of conviction and clarity of thought.When Chanda speaks, people listen carefully.She has shaped retail banking in India ever since she assumed her pivotal role in establishing ICICI Bank during the 1990s. As managing director and CEO since 2009, she has brought India’s largest private bank a global vision and impressive returns, while also reaching out to the nation’s masses with branches in remote villages where banks simply didn’t exist.When young women turn to her for advice, she tells them to put aside their unconscious inhibitions, saying, “Don’t give up on something just because you think you can’t do it.”I have yet to find anything Chanda can’t do. She’s a first-class leader, strategist and friend.Jain is a co–chief executive officer of Deutsche Bank",http://time.com/3822610/chanda-kochhar-2015-time-100/,https://timedotcom.files.wordpress.com/2000/04/chanda-kochhar-time-100-2015-titans.jpg?quality=75&strip=color&w=814
Tony Fernandes,"More than 8 million people are in the air each day traveling in planes, trusting their lives to the care of strangers. Technicians, in-flight crew, pilots. You don’t hear much when things go as planned. When things go wrong, there is terrible speculation, uncertainty and questions from every direction.People reveal their true selves in the worst of times. After learning that AirAsia Flight 8501 had gone missing, Tony Fernandes stilled the chaos by being himself—a family man and a business leader. He guided his company and employees through the horror. As AirAsia continued to serve its passengers, Tony acted as a friend, father and son to families whose darkest days were not done.The end of every journey is home. With his strength, candor and compassion, Tony helps get AirAsia’s passengers home every day. And he continues to lead a company that has earned the trust of travelers.Branson is the founder of the Virgin Group",http://time.com/3822614/tony-fernandes-2015-time-100/,https://timedotcom.files.wordpress.com/2000/04/tony-fernandes-time-100-2015-titans.jpg?quality=75&strip=color&w=1100
Lee Daniels,"Nothing quite prepared me for working with Lee Daniels. Two years ago, I stepped onto the set of The Butler for my first appearance in a movie in 15 years. Lee was directing my first scene when he suddenly came from behind the camera, rushed over to me and shouted, “Stop acting!”That’s the reason actors love working with Lee. He forces you, in every breath, to stay in character. To find the bone-marrow truth in every scene, no matter what it takes to get there. He’s a truth seeker. “Less is more” is his credo. “Give me 1/8 of that” is one of my favorite notes from him.And now with the runaway success of Fox’s Empire, his seductive new hip-hop drama, it seems like there is nothing Lee can’t do. He is taking us all on an uninhibited, bodacious ride, bringing in new viewers each week at a pace that is unheard of in today’s television landscape.His eyes and ears are attuned to nuance. He knows how to rattle the nerves of the zeitgeist. He is an undeniable, singular voice, the likes of which we’ve rarely seen.Winfrey is an actor and talk-show host and the head of the Oprah Winfrey Network",http://time.com/3822623/lee-daniels-2015-time-100/,None
